variable,alias,descripcion
conteo::total_datos,conteo::total_datos,Conteo total de datos en el grupo
ASMA-1,ASMA-SI ,Identifica si el paciente tiene un diagnóstico de asma. 
ASMA-2,ASMA-NO ,Identifica si el paciente tiene un diagnóstico de asma. 
ASMA-97,ASMA-NO APLICA,Identifica si el paciente tiene un diagnóstico de asma. 
ASMA-98,ASMA-SE IGNORA,Identifica si el paciente tiene un diagnóstico de asma. 
ASMA-99,ASMA-NO ESPECIFICADO,Identifica si el paciente tiene un diagnóstico de asma. 
CARDIOVASCULAR-1,CARDIOVASCULAR-SI ,Identifica si el paciente tiene un diagnóstico de enfermedades cardiovasculares. 
CARDIOVASCULAR-2,CARDIOVASCULAR-NO ,Identifica si el paciente tiene un diagnóstico de enfermedades cardiovasculares. 
CARDIOVASCULAR-97,CARDIOVASCULAR-NO APLICA,Identifica si el paciente tiene un diagnóstico de enfermedades cardiovasculares. 
CARDIOVASCULAR-98,CARDIOVASCULAR-SE IGNORA,Identifica si el paciente tiene un diagnóstico de enfermedades cardiovasculares. 
CARDIOVASCULAR-99,CARDIOVASCULAR-NO ESPECIFICADO,Identifica si el paciente tiene un diagnóstico de enfermedades cardiovasculares. 
CLASIFICACION_FINAL_COVID-1,CLASIFICACION_FINAL_COVID-CASO DE COVID-19 CONFIRMADO POR ASOCIACIÓN CLÍNICA EPIDEMIOLÓGICA,"Identifica si el paciente es un caso de COVID-19 según el catálogo ""CLASIFICACION_FINAL_COVID""."
CLASIFICACION_FINAL_COVID-2,CLASIFICACION_FINAL_COVID-CASO DE COVID-19 CONFIRMADO POR COMITÉ DE  DICTAMINACIÓN,"Identifica si el paciente es un caso de COVID-19 según el catálogo ""CLASIFICACION_FINAL_COVID""."
CLASIFICACION_FINAL_COVID-3,CLASIFICACION_FINAL_COVID-CASO DE SARS-COV-2  CONFIRMADO,"Identifica si el paciente es un caso de COVID-19 según el catálogo ""CLASIFICACION_FINAL_COVID""."
CLASIFICACION_FINAL_COVID-4,CLASIFICACION_FINAL_COVID-INVÁLIDO POR LABORATORIO,"Identifica si el paciente es un caso de COVID-19 según el catálogo ""CLASIFICACION_FINAL_COVID""."
CLASIFICACION_FINAL_COVID-5,CLASIFICACION_FINAL_COVID-NO REALIZADO POR LABORATORIO,"Identifica si el paciente es un caso de COVID-19 según el catálogo ""CLASIFICACION_FINAL_COVID""."
CLASIFICACION_FINAL_COVID-6,CLASIFICACION_FINAL_COVID-CASO SOSPECHOSO,"Identifica si el paciente es un caso de COVID-19 según el catálogo ""CLASIFICACION_FINAL_COVID""."
CLASIFICACION_FINAL_COVID-7,CLASIFICACION_FINAL_COVID-NEGATIVO A SARS-COV-2,"Identifica si el paciente es un caso de COVID-19 según el catálogo ""CLASIFICACION_FINAL_COVID""."
