variable,traduccion
conteo::total_datos,conteo::total_datos
ASMA-1,ASMA-SI 
ASMA-2,ASMA-NO 
ASMA-97,ASMA-NO APLICA
ASMA-98,ASMA-SE IGNORA
ASMA-99,ASMA-NO ESPECIFICADO
CARDIOVASCULAR-1,CARDIOVASCULAR-SI 
CARDIOVASCULAR-2,CARDIOVASCULAR-NO 
CARDIOVASCULAR-97,CARDIOVASCULAR-NO APLICA
CARDIOVASCULAR-98,CARDIOVASCULAR-SE IGNORA
CARDIOVASCULAR-99,CARDIOVASCULAR-NO ESPECIFICADO
CLASIFICACION_FINAL_COVID-1,CLASIFICACION_FINAL_COVID-CASO DE COVID-19 CONFIRMADO POR ASOCIACIÓN CLÍNICA EPIDEMIOLÓGICA
CLASIFICACION_FINAL_COVID-2,CLASIFICACION_FINAL_COVID-CASO DE COVID-19 CONFIRMADO POR COMITÉ DE  DICTAMINACIÓN
CLASIFICACION_FINAL_COVID-3,CLASIFICACION_FINAL_COVID-CASO DE SARS-COV-2  CONFIRMADO
CLASIFICACION_FINAL_COVID-4,CLASIFICACION_FINAL_COVID-INVÁLIDO POR LABORATORIO
CLASIFICACION_FINAL_COVID-5,CLASIFICACION_FINAL_COVID-NO REALIZADO POR LABORATORIO
CLASIFICACION_FINAL_COVID-6,CLASIFICACION_FINAL_COVID-CASO SOSPECHOSO
CLASIFICACION_FINAL_COVID-7,CLASIFICACION_FINAL_COVID-NEGATIVO A SARS-COV-2
CLASIFICACION_FINAL_FLU-3,CLASIFICACION_FINAL_FLU-CASO DE INFLUENZA CONFIRMADO
CLASIFICACION_FINAL_FLU-4,CLASIFICACION_FINAL_FLU-INVÁLIDO POR LABORATORIO
CLASIFICACION_FINAL_FLU-5,CLASIFICACION_FINAL_FLU-NO REALIZADO POR LABORATORIO
CLASIFICACION_FINAL_FLU-6,CLASIFICACION_FINAL_FLU-CASO SOSPECHOSO
CLASIFICACION_FINAL_FLU-7,CLASIFICACION_FINAL_FLU-NEGATIVO A INFLUENZA
DIABETES-1,DIABETES-SI 
DIABETES-2,DIABETES-NO 
DIABETES-97,DIABETES-NO APLICA
DIABETES-98,DIABETES-SE IGNORA
DIABETES-99,DIABETES-NO ESPECIFICADO
EMBARAZO-1,EMBARAZO-SI 
EMBARAZO-2,EMBARAZO-NO 
EMBARAZO-97,EMBARAZO-NO APLICA
EMBARAZO-98,EMBARAZO-SE IGNORA
EMBARAZO-99,EMBARAZO-NO ESPECIFICADO
EPOC-1,EPOC-SI 
EPOC-2,EPOC-NO 
EPOC-97,EPOC-NO APLICA
EPOC-98,EPOC-SE IGNORA
EPOC-99,EPOC-NO ESPECIFICADO
HABLA_LENGUA_INDIG-1,HABLA_LENGUA_INDIG-SI 
HABLA_LENGUA_INDIG-2,HABLA_LENGUA_INDIG-NO 
