ENTIDAD_RES,MUNICIPIO_RES,conteo::total_datos,ASMA-1,ASMA-2,ASMA-98,CARDIOVASCULAR-1,CARDIOVASCULAR-2,CARDIOVASCULAR-98,CLASIFICACION_FINAL_COVID-3,CLASIFICACION_FINAL_COVID-4,CLASIFICACION_FINAL_COVID-5,CLASIFICACION_FINAL_COVID-6,CLASIFICACION_FINAL_COVID-7,CLASIFICACION_FINAL_FLU-3,CLASIFICACION_FINAL_FLU-4,CLASIFICACION_FINAL_FLU-5,CLASIFICACION_FINAL_FLU-6,CLASIFICACION_FINAL_FLU-7,DIABETES-1,DIABETES-2,DIABETES-98,EMBARAZO-1,EMBARAZO-2,EMBARAZO-97,EMBARAZO-98,ENTIDAD_NAC-01,ENTIDAD_NAC-02,ENTIDAD_NAC-03,ENTIDAD_NAC-04,ENTIDAD_NAC-05,ENTIDAD_NAC-06,ENTIDAD_NAC-07,ENTIDAD_NAC-08,ENTIDAD_NAC-09,ENTIDAD_NAC-10,ENTIDAD_NAC-11,ENTIDAD_NAC-12,ENTIDAD_NAC-13,ENTIDAD_NAC-14,ENTIDAD_NAC-15,ENTIDAD_NAC-16,ENTIDAD_NAC-17,ENTIDAD_NAC-18,ENTIDAD_NAC-19,ENTIDAD_NAC-20,ENTIDAD_NAC-21,ENTIDAD_NAC-22,ENTIDAD_NAC-23,ENTIDAD_NAC-24,ENTIDAD_NAC-25,ENTIDAD_NAC-26,ENTIDAD_NAC-27,ENTIDAD_NAC-28,ENTIDAD_NAC-29,ENTIDAD_NAC-30,ENTIDAD_NAC-31,ENTIDAD_NAC-32,ENTIDAD_NAC-99,ENTIDAD_UM-01,ENTIDAD_UM-02,ENTIDAD_UM-03,ENTIDAD_UM-04,ENTIDAD_UM-05,ENTIDAD_UM-06,ENTIDAD_UM-07,ENTIDAD_UM-08,ENTIDAD_UM-09,ENTIDAD_UM-10,ENTIDAD_UM-11,ENTIDAD_UM-12,ENTIDAD_UM-13,ENTIDAD_UM-14,ENTIDAD_UM-15,ENTIDAD_UM-16,ENTIDAD_UM-17,ENTIDAD_UM-18,ENTIDAD_UM-19,ENTIDAD_UM-20,ENTIDAD_UM-21,ENTIDAD_UM-22,ENTIDAD_UM-23,ENTIDAD_UM-24,ENTIDAD_UM-25,ENTIDAD_UM-26,ENTIDAD_UM-27,ENTIDAD_UM-28,ENTIDAD_UM-29,ENTIDAD_UM-30,ENTIDAD_UM-31,ENTIDAD_UM-32,EPOC-1,EPOC-2,EPOC-98,HABLA_LENGUA_INDIG-1,HABLA_LENGUA_INDIG-2,HABLA_LENGUA_INDIG-99,HIPERTENSION-1,HIPERTENSION-2,HIPERTENSION-98,INDIGENA-1,INDIGENA-2,INDIGENA-99,INMUSUPR-1,INMUSUPR-2,INMUSUPR-98,INTUBADO-1,INTUBADO-2,INTUBADO-97,INTUBADO-99,MIGRANTE-1,MIGRANTE-2,MIGRANTE-99,NACIONALIDAD-1,NACIONALIDAD-2,NEUMONIA-1,NEUMONIA-2,OBESIDAD-1,OBESIDAD-2,OBESIDAD-98,ORIGEN-1,OTRA_COM-1,OTRA_COM-2,OTRA_COM-98,OTRO_CASO-1,OTRO_CASO-2,OTRO_CASO-99,RENAL_CRONICA-1,RENAL_CRONICA-2,RENAL_CRONICA-98,RESULTADO_ANTIGENO-97,RESULTADO_PCR-1,RESULTADO_PCR-10,RESULTADO_PCR-11,RESULTADO_PCR-13,RESULTADO_PCR-17,RESULTADO_PCR-2,RESULTADO_PCR-20,RESULTADO_PCR-21,RESULTADO_PCR-22,RESULTADO_PCR-23,RESULTADO_PCR-25,RESULTADO_PCR-26,RESULTADO_PCR-27,RESULTADO_PCR-28,RESULTADO_PCR-29,RESULTADO_PCR-3,RESULTADO_PCR-32,RESULTADO_PCR-34,RESULTADO_PCR-36,RESULTADO_PCR-37,RESULTADO_PCR-4,RESULTADO_PCR-5,RESULTADO_PCR-6,RESULTADO_PCR-7,RESULTADO_PCR-8,RESULTADO_PCR-9,RESULTADO_PCR-997,RESULTADO_PCR-999,RESULTADO_PCR_COINFECCION-1,RESULTADO_PCR_COINFECCION-10,RESULTADO_PCR_COINFECCION-11,RESULTADO_PCR_COINFECCION-13,RESULTADO_PCR_COINFECCION-17,RESULTADO_PCR_COINFECCION-2,RESULTADO_PCR_COINFECCION-20,RESULTADO_PCR_COINFECCION-21,RESULTADO_PCR_COINFECCION-22,RESULTADO_PCR_COINFECCION-23,RESULTADO_PCR_COINFECCION-25,RESULTADO_PCR_COINFECCION-26,RESULTADO_PCR_COINFECCION-27,RESULTADO_PCR_COINFECCION-28,RESULTADO_PCR_COINFECCION-29,RESULTADO_PCR_COINFECCION-3,RESULTADO_PCR_COINFECCION-32,RESULTADO_PCR_COINFECCION-34,RESULTADO_PCR_COINFECCION-37,RESULTADO_PCR_COINFECCION-4,RESULTADO_PCR_COINFECCION-5,RESULTADO_PCR_COINFECCION-6,RESULTADO_PCR_COINFECCION-7,RESULTADO_PCR_COINFECCION-8,RESULTADO_PCR_COINFECCION-9,RESULTADO_PCR_COINFECCION-997,RESULTADO_PCR_COINFECCION-998,RESULTADO_PCR_COINFECCION-999,SECTOR-10,SECTOR-11,SECTOR-12,SECTOR-13,SECTOR-15,SECTOR-2,SECTOR-3,SECTOR-4,SECTOR-5,SECTOR-6,SECTOR-8,SECTOR-9,SEXO-1,SEXO-2,TABAQUISMO-1,TABAQUISMO-2,TABAQUISMO-98,TIPO_PACIENTE-1,TIPO_PACIENTE-2,TOMA_MUESTRA_ANTIGENO-2,TOMA_MUESTRA_LAB-1,TOMA_MUESTRA_LAB-2,UCI-1,UCI-2,UCI-97,UCI-99,media::EDAD,mediana::EDAD
01,001,3583,141,3440,2,99,3483,1,110,3,17,1530,1923,522,3,17,1530,1511,379,3201,3,17,1900,1643,23,3285,2,0,0,9,0,6,5,47,5,13,2,1,49,26,13,0,2,1,7,5,2,1,7,1,0,1,0,0,6,0,75,12,3552,0,0,0,0,1,0,0,8,0,3,0,1,1,0,1,0,0,0,1,1,3,0,3,0,0,0,0,1,1,0,6,108,3474,1,3,3510,70,571,3011,1,3,3530,50,86,3496,1,34,1278,2271,0,3,8,3572,3571,12,327,3256,180,3400,3,3583,250,3328,5,641,2916,26,104,3478,1,3583,300,39,132,6,17,3,0,0,0,0,0,0,0,3,55,151,0,110,0,18,54,1108,3,30,22,2,1528,2,2,0,6,1,17,0,0,0,0,0,0,0,0,0,2,4,0,0,3,1,1108,3,2,2,2,1528,900,2,0,0,1411,0,7,0,1,1910,0,254,0,0,1940,1643,133,3449,1,2271,1312,3583,2055,1528,21,1291,2271,0,32.27323471950879,29.0
01,002,78,1,77,0,5,73,0,2,0,1,9,66,10,0,1,9,58,18,60,0,1,37,40,0,66,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,69,0,0,76,2,25,53,0,0,77,1,4,74,0,2,68,8,0,0,1,77,77,1,24,54,12,66,0,78,2,69,7,12,65,1,11,67,0,78,8,1,7,0,1,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,43,0,0,2,1,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,9,25,0,0,0,49,0,8,0,0,17,0,4,0,0,38,40,10,68,0,8,70,78,69,9,3,67,8,0,40.205128205128204,47.0
01,003,316,8,308,0,6,310,0,5,0,0,219,92,17,0,0,219,80,21,295,0,1,146,169,0,309,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,305,0,1,313,2,34,282,0,1,313,2,2,314,0,5,60,251,0,0,0,316,316,0,37,279,9,307,0,316,0,316,0,60,256,0,11,305,0,316,8,0,8,0,0,0,0,0,0,0,0,0,0,0,7,5,0,5,0,0,2,59,0,2,1,0,218,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,218,36,1,0,0,308,0,0,0,0,6,0,2,0,0,147,169,13,303,0,251,65,316,98,218,1,64,251,0,19.45253164556962,7.0
01,004,35,1,34,0,1,34,0,1,0,0,11,23,4,0,0,11,20,10,25,0,0,16,19,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33,0,0,34,1,11,24,0,0,34,1,1,34,0,3,21,11,0,0,0,35,35,0,7,28,1,34,0,35,0,22,13,8,26,1,2,33,0,35,4,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,14,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,11,10,0,0,0,29,0,0,0,0,3,0,3,0,0,16,19,3,32,0,11,24,35,24,11,2,22,11,0,38.02857142857143,40.0
01,005,222,13,209,0,12,210,0,8,0,0,65,149,40,0,0,65,117,25,197,0,1,107,112,2,197,0,0,0,0,0,0,0,6,0,1,1,0,4,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,7,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,209,0,0,220,2,48,174,0,0,221,1,21,201,0,2,117,103,0,0,0,222,222,0,16,206,23,199,0,222,9,213,0,29,193,0,8,214,0,222,24,7,15,0,0,0,0,0,0,0,0,0,0,0,3,13,0,8,0,1,2,82,0,1,1,0,65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,82,0,0,0,0,65,73,0,0,0,77,0,3,0,0,129,0,13,0,0,110,112,18,203,1,103,119,222,157,65,1,118,103,0,32.333333333333336,29.0
01,006,77,2,75,0,4,73,0,6,0,1,14,56,9,0,1,14,53,18,59,0,0,36,41,0,68,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,71,0,0,77,0,12,65,0,0,77,0,4,73,0,1,57,19,0,0,0,77,77,0,18,59,6,71,0,77,1,75,1,16,61,0,5,72,0,77,4,2,8,0,1,0,0,0,0,0,0,0,0,0,1,2,0,6,0,1,2,34,0,1,1,0,14,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,34,0,0,0,0,14,26,0,0,0,54,0,0,0,0,18,0,5,0,0,36,41,9,68,0,19,58,77,63,14,3,55,19,0,33.311688311688314,30.0
01,007,214,9,205,0,6,208,0,3,1,2,106,102,17,1,2,106,88,36,178,0,1,103,110,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,211,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,201,0,0,208,6,35,179,0,0,209,5,8,205,1,5,86,123,0,0,0,214,214,0,45,169,37,177,0,214,2,147,65,23,185,6,8,206,0,214,12,1,6,0,2,0,0,0,0,0,0,0,0,0,2,3,0,3,0,1,2,71,1,3,1,0,106,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,1,0,0,0,106,34,0,0,0,192,0,2,0,0,13,0,7,0,0,104,110,9,205,0,123,91,214,108,106,3,88,123,0,31.05140186915888,27.0
01,008,21,3,18,0,1,20,0,1,0,0,2,18,2,0,0,2,17,3,18,0,0,10,11,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,0,0,19,2,7,14,0,0,20,1,1,20,0,0,20,1,0,0,0,21,21,0,6,15,4,17,0,21,0,20,1,2,18,1,1,20,0,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,14,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,4,0,0,0,18,0,0,0,0,3,0,0,0,0,10,11,2,19,0,1,20,21,19,2,1,19,1,0,42.857142857142854,40.0
01,009,46,1,45,0,4,42,0,0,0,0,15,31,4,0,0,15,27,10,36,0,0,22,24,0,44,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,42,0,0,40,6,14,32,0,0,39,7,2,44,0,2,30,14,0,0,0,46,46,0,14,32,3,43,0,46,1,28,17,5,40,1,3,43,0,46,2,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,20,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,15,11,0,0,0,41,0,0,0,0,5,0,0,0,0,22,24,4,42,0,14,32,46,31,15,2,30,14,0,31.782608695652176,20.0
01,010,51,2,49,0,1,50,0,3,0,0,25,23,7,0,0,25,19,4,47,0,1,23,27,0,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,49,2,8,43,0,0,49,2,0,51,0,2,12,37,0,0,1,50,50,1,6,45,4,47,0,51,5,46,0,15,36,0,0,51,0,51,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,5,0,3,0,1,0,12,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,25,13,0,0,0,15,0,0,0,0,33,0,3,0,0,24,27,1,50,0,37,14,51,26,25,2,12,37,0,31.352941176470587,31.0
