id,codigo_act,per_ocu,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,tipoUniEco,latitud,longitud,fecha_alta,cve_mun_resumido,fecha_documento
8676632.0,931610,6 a 10 personas,11,GUANAJUATO,7,Celaya,1,Celaya,2561,Fijo,20.55917869,-100.84404016,2019-11,11007,2022-05
1510856.0,931610,0 a 5 personas,12,GUERRERO,34,Huitzuco de los Figueroa,1,Ciudad de Huitzuco,0529,Fijo,18.29405406,-99.33549756,2010-07,12034,2022-05
8483517.0,931610,31 a 50 personas,12,GUERRERO,45,Olinalá,1,Olinalá,0325,Fijo,17.7776224,-98.74190231,2019-11,12045,2022-05
1914381.0,931410,0 a 5 personas,14,JALISCO,73,San Juan de los Lagos,1,San Juan de los Lagos,0278,Fijo,21.24590198,-102.33366986,2010-07,14073,2022-05
3054936.0,931610,0 a 5 personas,19,NUEVO LEÓN   ,39,Monterrey,1,Monterrey,3517,Fijo,25.72894432,-100.37995631,2010-07,19039,2022-05
8824544.0,931210,0 a 5 personas,26,SONORA,47,Pitiquito,65,Puerto Libertad,1921,Fijo,29.90884442,-112.6841852,2019-11,26047,2022-05
8362901.0,931610,0 a 5 personas,31,YUCATÁN       ,41,Kanasín,1,Kanasín,0278,Fijo,20.93469061,-89.55809613,2019-11,31041,2022-05
8333743.0,463211,0 a 5 personas,2,Baja California,4,Tijuana,1,Tijuana                                                                                                       ,4069,Fijo,32.48572943,-116.94469866,2019-11,2004,2021-11
256183.0,465311,0 a 5 personas,5,Coahuila de Zaragoza,18,Monclova,1,Monclova                                                                                                      ,0563,Fijo,26.89698402,-101.44387879,2014-12,5018,2021-11
8169225.0,465111,0 a 5 personas,5,Coahuila de Zaragoza,35,Torreón,1,Torreón                                                                                                       ,0761,Semifijo,25.5818242,-103.40238233,2019-11,5035,2021-11
8093397.0,465311,0 a 5 personas,8,Chihuahua,37,Juárez,1,Juárez                                                                                                        ,0628,Fijo,31.7434592,-106.47069749,2019-11,8037,2021-11
9123215.0,465311,0 a 5 personas,9,Ciudad de México,9,Milpa Alta,1,Villa Milpa Alta                                                                                              ,0026,Fijo,19.19659949,-99.02410189,2019-11,9009,2021-11
954282.0,465313,0 a 5 personas,9,Ciudad de México,14,Benito Juárez,1,Benito Juárez                                                                                                 ,0882,Semifijo,19.36639045,-99.18892591,2010-07,9014,2021-11
771637.0,465311,0 a 5 personas,9,Ciudad de México,16,Miguel Hidalgo,1,Miguel Hidalgo                                                                                                ,1137,Fijo,19.40545882,-99.19710299,2010-07,9016,2021-11
1094161.0,465311,0 a 5 personas,10,Durango,5,Durango,1,Victoria de Durango                                                                                           ,2740,Fijo,23.99702542,-104.67241689,2014-12,10005,2021-11
7972751.0,463310,0 a 5 personas,11,Guanajuato,20,León,1,León de los Aldama                                                                                            ,2243,Fijo,21.08464252,-101.6496471,2019-11,11020,2021-11
7942750.0,465215,0 a 5 personas,11,Guanajuato,31,San Francisco del Rincón,1,San Francisco del Rincón                                                                                      ,0062,Fijo,21.01528186,-101.85886946,2019-11,11031,2021-11
7103216.0,463211,0 a 5 personas,12,Guerrero,1,Acapulco de Juárez,1,Acapulco de Juárez                                                                                            ,0246,Semifijo,16.86997872,-99.91774241,2019-11,12001,2021-11
1441013.0,463211,0 a 5 personas,12,Guerrero,66,Tlapa de Comonfort,1,Tlapa de Comonfort                                                                                            ,0310,Fijo,17.54818,-98.58332759,2014-12,12066,2021-11
7405248.0,465111,0 a 5 personas,14,Jalisco,101,Tonalá,1,Tonalá                                                                                                        ,0927,Fijo,20.62385077,-103.2425861,2019-11,14101,2021-11
8278135.0,465311,0 a 5 personas,15,México,33,Ecatepec de Morelos,1,Ecatepec de Morelos                                                                                           ,007A,Fijo,19.6013773,-99.04840767,2019-11,15033,2021-11
7028387.0,463213,0 a 5 personas,15,México,33,Ecatepec de Morelos,1,Ecatepec de Morelos                                                                                           ,3483,Fijo,19.57241621,-99.07077675,2019-11,15033,2021-11
2401914.0,463211,0 a 5 personas,15,México,113,Villa Guerrero,1,Villa Guerrero                                                                                                ,0053,Fijo,18.96438141,-99.64245338,2010-07,15113,2021-11
7611982.0,463211,0 a 5 personas,16,Michoacán de Ocampo,110,Zinapécuaro,49,Valle de Juárez (Jeráhuaro)                                                                                   ,0268,Fijo,19.88062674,-100.64474783,2019-11,16110,2021-11
2775060.0,465212,0 a 5 personas,17,Morelos,7,Cuernavaca,1,Cuernavaca                                                                                                    ,1378,Fijo,18.92606059,-99.2507336,2010-07,17007,2021-11
2777369.0,465311,0 a 5 personas,17,Morelos,7,Cuernavaca,1,Cuernavaca                                                                                                    ,1448,Fijo,18.93096136,-99.23021334,2010-07,17007,2021-11
6364006.0,463211,0 a 5 personas,18,Nayarit,17,Tepic,1,Tepic                                                                                                         ,2057,Fijo,21.49251407,-104.86405676,2010-07,18017,2021-11
3168302.0,463211,0 a 5 personas,20,Oaxaca,43,Heroica Ciudad de Juchitán de Zaragoza,1,Juchitán de Zaragoza                                                                                          ,0363,Semifijo,16.43370926,-95.02129404,2014-12,20043,2021-11
3080014.0,465212,0 a 5 personas,20,Oaxaca,67,Oaxaca de Juárez,1,Oaxaca de Juárez                                                                                              ,1170,Fijo,17.04327029,-96.71832393,2010-07,20067,2021-11
3112969.0,465311,0 a 5 personas,20,Oaxaca,194,San Juan del Río,1,San Juan del Río                                                                                              ,0033,Fijo,16.88285884,-96.16116179,2014-12,20194,2021-11
9102360.0,463215,0 a 5 personas,20,Oaxaca,318,San Pedro Mixtepec,9,Puerto Escondido                                                                                              ,0333,Fijo,15.87044078,-97.07317784,2019-11,20318,2021-11
8039946.0,464113,0 a 5 personas,21,Puebla,77,Hueytlalpan,1,Hueytlalpan                                                                                                   ,0031,Fijo,20.02624429,-97.69715436,2019-11,21077,2021-11
3278928.0,465311,0 a 5 personas,21,Puebla,114,Puebla,1,Heroica Puebla de Zaragoza                                                                                    ,4415,Fijo,19.06974074,-98.14039082,2010-07,21114,2021-11
8601672.0,464111,0 a 5 personas,21,Puebla,117,Rafael Lara Grajales,1,Ciudad de Rafael Lara Grajales                                                                                ,0081,Fijo,19.22733845,-97.80315895,2019-11,21117,2021-11
8857437.0,463213,0 a 5 personas,21,Puebla,119,San Andrés Cholula,1,San Andrés Cholula                                                                                            ,0194,Fijo,19.05207147,-98.30086092,2019-11,21119,2021-11
8592466.0,465216,0 a 5 personas,21,Puebla,119,San Andrés Cholula,13,San Bernardino Tlaxcalancingo                                                                                 ,0480,Fijo,19.00811964,-98.26573082,2019-11,21119,2021-11
3542648.0,465213,0 a 5 personas,22,Querétaro,7,Ezequiel Montes,47,Villa Progreso                                                                                                ,0188,Fijo,20.6430065,-99.83561542,2010-07,22007,2021-11
8806508.0,465312,0 a 5 personas,22,Querétaro,14,Querétaro,1,Santiago de Querétaro                                                                                         ,038A,Fijo,20.5966743,-100.39306816,2019-11,22014,2021-11
3548967.0,463211,0 a 5 personas,22,Querétaro,14,Querétaro,1,Santiago de Querétaro                                                                                         ,0498,Fijo,20.58378263,-100.39337256,2010-07,22014,2021-11
3611043.0,465311,0 a 5 personas,22,Querétaro,14,Querétaro,1,Santiago de Querétaro                                                                                         ,2776,Fijo,20.6372838,-100.46647408,2014-12,22014,2021-11
8283218.0,463310,0 a 5 personas,22,Querétaro,14,Querétaro,103,San Miguelito                                                                                                 ,3702,Fijo,20.73720708,-100.5059675,2019-11,22014,2021-11
8002783.0,465311,0 a 5 personas,24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí                                                                                               ,1433,Fijo,22.16653276,-101.00889193,2019-11,24028,2021-11
3787350.0,463310,0 a 5 personas,25,Sinaloa,6,Culiacán,1,Culiacán Rosales                                                                                              ,3403,Fijo,24.80643563,-107.39430758,2010-07,25006,2021-11
3867787.0,463211,0 a 5 personas,26,Sonora,29,Guaymas,1,Heroica Guaymas                                                                                               ,1016,Fijo,27.92219643,-110.89222728,2010-07,26029,2021-11
7970162.0,465215,0 a 5 personas,26,Sonora,30,Hermosillo,1,Hermosillo                                                                                                    ,3441,Fijo,29.05685781,-110.96595604,2019-11,26030,2021-11
8546414.0,463215,6 a 10 personas,26,Sonora,30,Hermosillo,1,Hermosillo                                                                                                    ,3371,Fijo,29.06740289,-110.95044747,2019-11,26030,2021-11
4010453.0,465311,0 a 5 personas,27,Tabasco,4,Centro,206,La Lima                                                                                                       ,2429,Fijo,17.90094481,-92.92373563,2014-12,27004,2021-11
3986235.0,465311,0 a 5 personas,27,Tabasco,5,Comalcalco,1,Comalcalco                                                                                                    ,0190,Fijo,18.27578706,-93.22304592,2014-12,27005,2021-11
4064971.0,464111,0 a 5 personas,28,Tamaulipas,22,Matamoros,1,Heroica Matamoros                                                                                             ,2243,Fijo,25.87102606,-97.52739649,2014-12,28022,2021-11
4038585.0,465311,0 a 5 personas,28,Tamaulipas,22,Matamoros,1,Heroica Matamoros                                                                                             ,2737,Fijo,25.83071784,-97.46912758,2010-07,28022,2021-11
7212725.0,465112,0 a 5 personas,29,Tlaxcala,10,Chiautempan,1,Santa Ana Chiautempan                                                                                         ,0293,Fijo,19.31106113,-98.19577697,2019-11,29010,2021-11
4460803.0,464121,0 a 5 personas,30,Veracruz de Ignacio de la Llave,87,Xalapa,1,Xalapa-Enríquez                                                                                               ,1105,Semifijo,19.54829496,-96.93212341,2010-07,30087,2021-11
4262768.0,464112,0 a 5 personas,30,Veracruz de Ignacio de la Llave,109,Misantla,1,Misantla                                                                                                      ,0074,Fijo,19.92650671,-96.85522475,2014-12,30109,2021-11
6222404.0,463215,0 a 5 personas,30,Veracruz de Ignacio de la Llave,131,Poza Rica de Hidalgo,1,Poza Rica de Hidalgo                                                                                          ,0200,Fijo,20.52784067,-97.46379847,2014-12,30131,2021-11
4579091.0,464121,0 a 5 personas,31,Yucatán,50,Mérida,1,Mérida                                                                                                        ,2606,Fijo,20.9945359,-89.65293413,2010-07,31050,2021-11
4652712.0,465311,0 a 5 personas,32,Zacatecas,55,Villanueva,1,Villanueva                                                                                                    ,023A,Fijo,22.3549324,-102.88333183,2010-07,32055,2021-11
916139.0,221312,0 a 5 personas,9,Ciudad de México,12,Tlalpan,1,Tlalpan                                                                                                       ,1015,Fijo,19.2807686,-99.17041433,2014-12,9012,2024-05
6187660.0,212319,0 a 5 personas,20,OAXACA,77,Reyes Etla,1,Reyes Etla,0022,Fijo,17.20157799,-96.81320548,2010-07,20077,2019-11
,561432,0 a 5 personas,2,BAJA CALIFORNIA,4,TIJUANA,1,Tijuana,3395,Fijo,32.50624087,-116.97872852,2014-12,2004,2016-01
,561432,0 a 5 personas,8,CHIHUAHUA,19,CHIHUAHUA,1,Chihuahua,6050,Fijo,28.59480727,-106.02882792,2014-12,8019,2016-01
,561432,0 a 5 personas,12,GUERRERO,11,ATOYAC DE ÃLVAREZ,1,Atoyac de Ãlvarez,0721,Fijo,17.19268092,-100.43863355,2014-12,12011,2016-01
,561432,0 a 5 personas,15,MÃXICO                      ,33,ECATEPEC DE MORELOS,1,Ecatepec de Morelos,2818,Fijo,19.53581909,-99.03665376,2014-12,15033,2016-01
,561432,0 a 5 personas,15,MÃXICO                      ,54,METEPEC,32,San BartolomÃ© Tlaltelulco,0031,Fijo,19.22665,-99.63292473,2014-12,15054,2016-01
,561432,0 a 5 personas,21,PUEBLA,114,PUEBLA,1,HerÃ³ica Puebla de Zaragoza,403A,Fijo,18.98997227,-98.18239667,2010-07,21114,2016-01
,561431,0 a 5 personas,27,TABASCO,4,CENTRO,251,Fraccionamiento OcuiltzapotlÃ¡n Dos,2096,Fijo,18.1117925,-92.86976765,2010-07,27004,2016-01
182347.0,561432,0 a 5 personas,3,Baja California Sur,8,Los Cabos,1,San José del Cabo                                                                                             ,1053,Fijo,23.07414348,-109.70995564,2014-12,3008,2021-11
7832176.0,561432,0 a 5 personas,9,Ciudad de México,7,Iztapalapa,1,Iztapalapa                                                                                                    ,0074,Fijo,19.39122571,-99.04732841,2019-11,9007,2021-11
7595558.0,561432,0 a 5 personas,9,Ciudad de México,12,Tlalpan,26,San Miguel Ajusco                                                                                             ,1528,Fijo,19.21939382,-99.2035326,2019-11,9012,2021-11
6810479.0,561590,31 a 50 personas,9,Ciudad de México,14,Benito Juárez,1,Benito Juárez                                                                                                 ,0223,Fijo,19.39592653,-99.17145674,2017-11,9014,2021-11
1247610.0,561432,0 a 5 personas,11,Guanajuato,7,Celaya,1,Celaya                                                                                                        ,1116,Fijo,20.52979505,-100.83882488,2014-12,11007,2021-11
8144440.0,561432,0 a 5 personas,11,Guanajuato,17,Irapuato,177,Tomelopitos                                                                                                   ,0843,Fijo,20.59440208,-101.36652195,2019-11,11017,2021-11
1523325.0,561432,0 a 5 personas,13,Hidalgo,30,Ixmiquilpan,1,Ixmiquilpan                                                                                                   ,0204,Fijo,20.48158283,-99.2198878,2010-07,13030,2021-11
7745581.0,561432,0 a 5 personas,13,Hidalgo,82,Zapotlán de Juárez,2,Acayuca                                                                                                       ,0056,Fijo,20.0274226,-98.83994184,2019-11,13082,2021-11
