"subcategoria","var","var_alias","description","visibility","var_type","is_category"
NA,"112511_2022","NA_2022",NA,"visible","integer",FALSE
NA,"112512_2022","NA_2022",NA,"visible","integer",FALSE
"Agricultura cría y explotación de animales aprovechamiento forestal pesca y caza","114111_2022","Camarón_2022","Pesca de camarón","visible","integer",FALSE
"Agricultura cría y explotación de animales aprovechamiento forestal pesca y caza","114112_2022","Túnidos_2022","Pesca de túnidos","visible","integer",FALSE
"Agricultura cría y explotación de animales aprovechamiento forestal pesca y caza","114113_2022","Sardina_2022","Pesca de sardina y anchoveta","visible","integer",FALSE
"Agricultura cría y explotación de animales aprovechamiento forestal pesca y caza","114119_2022","Pesca_2022","Pesca y captura de otros peces, crustáceos, moluscos y otras especies","visible","integer",FALSE
"Agricultura cría y explotación de animales aprovechamiento forestal pesca y caza","115111_2022","Fumigación_2022","Servicios de fumigación agrícola","visible","integer",FALSE
"Agricultura cría y explotación de animales aprovechamiento forestal pesca y caza","115112_2022","Despepite_2022","Despepite de algodón","visible","integer",FALSE
"Agricultura cría y explotación de animales aprovechamiento forestal pesca y caza","115113_2022","Productos_2022","Beneficio de productos agrícolas","visible","integer",FALSE
"Agricultura cría y explotación de animales aprovechamiento forestal pesca y caza","115119_2022","Relacionad_2022","Otros servicios relacionados con la agricultura","visible","integer",FALSE
"Agricultura cría y explotación de animales aprovechamiento forestal pesca y caza","115210_2022","Servicios_2022","Servicios relacionados con la cría y explotación de animales","visible","integer",FALSE
"Agricultura cría y explotación de animales aprovechamiento forestal pesca y caza","115310_2022","Servicios_2022","Servicios relacionados con el aprovechamiento forestal","visible","integer",FALSE
"Minería","211111_2022","Petróleo_2022","Extracción de petróleo y gas natural asociado","visible","integer",FALSE
"Minería","211112_2022","Gasnatural_2022","Extracción de gas natural no asociado","visible","integer",FALSE
"Minería","212110_2022","Carbón_2022","Minería de carbón mineral","visible","integer",FALSE
"Minería","212210_2022","Hierro_2022","Minería de hierro","visible","integer",FALSE
"Minería","212221_2022","Oro_2022","Minería de oro","visible","integer",FALSE
"Minería","212222_2022","Plata_2022","Minería de plata","visible","integer",FALSE
