,code,var
0,entidad-1,entidad-01 AGUASCALIENTES
1,entidad-2,entidad-02 BAJA CALIFORNIA
2,entidad-3,entidad-03 BAJA CALIFORNIA SUR
3,entidad-4,entidad-04 CAMPECHE
4,entidad-5,entidad-05 COAHUILA DE ZARAGOZA
5,entidad-6,entidad-06 COLIMA
6,entidad-7,entidad-07 CHIAPAS
7,entidad-8,entidad-08 CHIHUAHUA
8,entidad-9,entidad-09 CIUDAD DE MÉXICO
9,entidad-10,entidad-10 DURANGO
10,entidad-11,entidad-11 GUANAJUATO
11,entidad-12,entidad-12 GUERRERO
12,entidad-13,entidad-13 HIDALGO
13,entidad-14,entidad-14 JALISCO
14,entidad-15,entidad-15 MÉXICO
15,entidad-16,entidad-16 MICHOACÁN DE OCAMPO
16,entidad-17,entidad-17 MORELOS
17,entidad-18,entidad-18 NAYARIT
18,entidad-19,entidad-19 NUEVO LEÓN
19,entidad-20,entidad-20 OAXACA
20,entidad-21,entidad-21 PUEBLA
21,entidad-22,entidad-22 QUERÉTARO
22,entidad-23,entidad-23 QUINTANA ROO
23,entidad-24,entidad-24 SAN LUIS POTOSÍ
24,entidad-25,entidad-25 SINALOA
25,entidad-26,entidad-26 SONORA
26,entidad-27,entidad-27 TABASCO
27,entidad-28,entidad-28 TAMAULIPAS
28,entidad-29,entidad-29 TLAXCALA
29,entidad-30,entidad-30 VERACRUZ DE IGNACIO DE LA LLAVE
30,entidad-31,entidad-31 YUCATÁN
31,entidad-32,entidad-32 ZACATECAS
32,region-1,region-Pacifico_Norte
33,region-2,region-Frontera
34,region-3,region-Pacifico_Centro
35,region-4,region-Centro_Norte
36,region-5,region-Centro
37,region-6,region-Cd México
38,region-7,region-EdoMéxico
39,region-8,region-Pácifico_Sur
40,region-9,region-Península
41,region_s-1,region_s-Pacifico_Norte
42,region_s-2,region_s-Frontera
43,region_s-3,region_s-Pacifico_Centro
44,region_s-4,region_s-Centro_Norte
45,region_s-5,region_s-Centro
46,region_s-6,region_s-Cd México
47,region_s-7,region_s-EdoMéxico
48,region_s-8,region_s-Pácifico_Sur
49,region_s-9,region_s-Península
50,h0101-1,material_techo_hogar-Material de desecho
51,h0101-2,material_techo_hogar-Lámina de cartón
52,h0101-3,material_techo_hogar-Lámina metálica
53,h0101-4,material_techo_hogar-Lámina de asbesto
54,h0101-5,material_techo_hogar-Palma o paja
55,h0101-6,material_techo_hogar-Madera o tejamanil
56,h0101-7,material_techo_hogar-Terrado con vigueria
57,h0101-8,material_techo_hogar-Teja
58,h0101-9,material_techo_hogar-Losa de concreto o viguetas con bovedilla
59,h0102-1,materia_paredes_hogar-Material de desecho
60,h0102-2,materia_paredes_hogar-Lámina de cartón
61,h0102-3,materia_paredes_hogar-Lámina de asbesto o metálica
62,h0102-4,"materia_paredes_hogar-Carrizo, bambú o palma"
63,h0102-5,"materia_paredes_hogar-Embarro, bajareque o paja"
64,h0102-6,materia_paredes_hogar-Madera
65,h0102-7,materia_paredes_hogar-Adobe
66,h0102-8,"materia_paredes_hogar-Tabique, ladrillo,block, piedra, cantera, cemento o concreto"
67,h0103-1,material_piso_hogar-Tierra
68,h0103-2,material_piso_hogar-Cemento o firme
69,h0103-3,"material_piso_hogar-Madera, mosaico u otro recubrimiento"
70,h0106-1,hogar_tiene_cocina-Sí
71,h0106-2,hogar_tiene_cocina-No
72,h0107-1,lugar_cocinar_alimentos-en un pasillo o corredor?
73,h0107-2,lugar_cocinar_alimentos-en un tejabán o techito?
74,h0107-3,lugar_cocinar_alimentos-al aire libre?
75,h0107-4,lugar_cocinar_alimentos-¿No cocinan en esta vivienda?
76,h0108-1,duermen_donde_cocinan-Sí
77,h0108-2,duermen_donde_cocinan-No
78,h0109-1,combustible_cocinar-leña?
79,h0109-2,combustible_cocinar-carbón?
80,h0109-3,combustible_cocinar-gas de cilindro o estacionario?
81,h0109-4,combustible_cocinar-gas natural o de tubería?
82,h0109-5,combustible_cocinar-electricidad?
83,h0109-6,combustible_cocinar-¿Otro combustible?
84,h0109-7,combustible_cocinar-¿No cocinan?
85,h0110-1,estufa_cocinar-Estufa o parrilla de gas
86,h0110-2,estufa_cocinar-Estufa o parrilla eléctrica
87,h0110-3,estufa_cocinar-Fuego abierto u horno sin chimenea ni campana
88,h0110-4,estufa_cocinar-Fuego abierto u horno con chimenea o campana
89,h0110-5,estufa_cocinar-Horno cerrado con chimenea
90,h0110-6,estufa_cocinar-Otro
91,h0111-1,luz_electrica_vivienda-Sí
92,h0111-2,luz_electrica_vivienda-No
93,h0112-1,agua_entubada_vivienda-dentro de la vivienda?
94,h0112-2,agua_entubada_vivienda-solo en el terreno?
95,h0112-3,agua_entubada_vivienda-no tiene agua entubada?
96,h0113-1,origen_agua_entubada-del servicio público de agua?
97,h0113-2,origen_agua_entubada-de un pozo?
98,h0113-3,origen_agua_entubada-de una pipa?
99,h0113-4,origen_agua_entubada-de otra vivienda?
100,h0113-5,origen_agua_entubada-de otro lugar?
101,h0114-1,otro_origen_agua-la sacan o acarrean de un pozo?
102,h0114-2,otro_origen_agua-la acarrean de una toma o llave comunitaria?
103,h0114-3,otro_origen_agua-la traen de otra vivienda?
104,h0114-4,otro_origen_agua-la trae una pipa?
105,h0114-5,"otro_origen_agua-la acarrean de un río, arroyo o lago?"
106,h0114-6,otro_origen_agua-la captan de la lluvia?
107,h0115-1,jabon_lavado_manos-Sí
108,h0115-2,jabon_lavado_manos-No
109,h0115-8,jabon_lavado_manos-NS/NR
110,h0116-1,"muestra_jabon-Sí, mostrado"
111,h0116-2,"muestra_jabon-No, mostrado"
112,h0117a-1,tipo_jabon_1-Jabón en pastilla
113,h0117a-2,tipo_jabon_1-Detergente (en polvo / liquido / en pasta)
114,h0117a-3,tipo_jabon_1-Jabón liquido
115,h0117a-4,"tipo_jabon_1-Ceniza, barro o arena"
116,h0117b-1,tipo_jabon_2-Jabón en pastilla
117,h0117b-2,tipo_jabon_2-Detergente (en polvo / liquido / en pasta)
118,h0117b-3,tipo_jabon_2-Jabón liquido
119,h0117b-4,"tipo_jabon_2-Ceniza, barro o arena"
120,h0117c-1,tipo_jabon_3-Jabón en pastilla
121,h0117c-2,tipo_jabon_3-Detergente (en polvo / liquido / en pasta)
122,h0117c-3,tipo_jabon_3-Jabón liquido
123,h0117c-4,"tipo_jabon_3-Ceniza, barro o arena"
124,h0118-1,vivienda_tiene_drenaje-la red pública?
125,h0118-2,vivienda_tiene_drenaje-una fosa séptica o tanque séptico (biodigestor)?
126,h0118-3,vivienda_tiene_drenaje-una tubería que va a dar a una barranca o grieta?
127,h0118-4,"vivienda_tiene_drenaje-una tubería que va a dar a un río, lago o mar?"
128,h0118-5,vivienda_tiene_drenaje-¿No tiene drenaje?
129,h0119-1,servicio_sanitario-tiene descarga directa de agua?
130,h0119-2,servicio_sanitario-le echan agua con cubeta?
131,h0119-3,servicio_sanitario-no se le puede echar agua?
132,h0119-4,servicio_sanitario-no tiene servicio sanitario?
133,h0120-1,servicio_sanitario_compartido-Sí
134,h0120-2,servicio_sanitario_compartido-No
135,h0121-1,recogida_basura_vivienda-la recoge un camión o un carrito de basura?
136,h0121-2,recogida_basura_vivienda-la tiran en el basurero público?
137,h0121-3,recogida_basura_vivienda-la tiran en un contenedor o depósito?
138,h0121-4,recogida_basura_vivienda-la queman?
139,h0121-5,recogida_basura_vivienda-la entierran?
140,h0121-6,recogida_basura_vivienda-la tiran en un terreno baldío o calle?
141,h0121-7,recogida_basura_vivienda-la tiran a la barranca o grieta?
142,h0121-8,"recogida_basura_vivienda-la tiran al río, lago o mar?"
143,h0122-1,alguna_calefaccion-Sí
144,h0122-2,alguna_calefaccion-No
145,h0123-1,medio_calefaccion-Aparato o sistema de calefacción
146,h0123-2,medio_calefaccion-Calentón
147,h0123-3,medio_calefaccion-Resistencia
148,h0123-4,medio_calefaccion-Brasero
149,h0123-5,medio_calefaccion-Chimenea
