variable,alias
conteo::total_datos,conteo::total_datos
acceso_escalonado_trabajo-1,h1510-Sí
acceso_escalonado_trabajo-2,h1510-No
acceso_exclusivo_maestros-1,h1103o-Sí
acceso_exclusivo_maestros-2,h1103o-No
acceso_exclusivo_maestros-3,h1103o-No Sabe
accidente_atencion-1,a1107-Instituto Mexicano del Seguro Social (IMSS)
accidente_atencion-2,a1107-ISSSTE/ISSSTE Estatal
accidente_atencion-3,a1107-PEMEX
accidente_atencion-4,a1107-Defensa
accidente_atencion-5,a1107-Marina
accidente_atencion-6,a1107-Centro de salud u Hospital de la SSA
accidente_atencion-7,a1107-IMSS Bienestar (antes Oportunidades)
accidente_atencion-8,"a1107-DIF federal, estatal o municipal"
accidente_atencion-9,a1107-Cruz roja/cruz verde
accidente_atencion-10,a1107-Instituto Nacional de Salud
accidente_atencion-11,a1107-Organizaciones (ONG/OSC) que dan atención gratuita/Dispensar
accidente_atencion-12,a1107-Consultorio pertenecientes a farmacias/Farmacias con consult
accidente_atencion-13,a1107-Consultorio dentro de hospital privado
accidente_atencion-14,a1107-Área de urgencias/hospitalización dentro de hospital privado
accidente_atencion-15,a1107-Atención privada en torre de consultorios médicos o en una c
accidente_atencion-16,a1107-Consultorio en domicilio particular de médico privado
accidente_atencion-17,a1107-Atención privada en mi domicilio
accidente_atencion-18,"a1107-Atención privada vía remota (teléfono, mensajes de texto, te"
accidente_atencion-19,a1107-Médico laboral (médico de la empresa)
accidente_atencion-20,"a1107-Curandero, hierbero, naturista"
accidente_atencion-21,"a1107-Homeópata, acupunturista"
accidente_atencion-22,a1107-Otro (especifique)
accidente_atencion-23,a1107-No sabe/No recuerda
accidente_atencion-24,a1107-Ninguna
accidente_bajo_efecto-1,a1108-alcohol?
accidente_bajo_efecto-2,a1108-drogas? (especifique)
accidente_bajo_efecto-3,a1108-ambos?
accidente_bajo_efecto-8,a1108-No estaba bajo efectos de alcohol o drogas
accidente_bajo_efecto-9,a1108-NS/NR
accidente_bajo_efecto-77,a1108-Otro (especifique)
accidente_ultimo_12meses-1,a1101-Sí
accidente_ultimo_12meses-2,a1101-No
accidente_ultimo_12meses-8,a1101-No responde
accidente_ultimo_12meses-9,a1101-No sabe
accidento_brazo-1,a1106e-Contusión
accidento_brazo-2,a1106e-Moretón
accidento_brazo-3,a1106e-Esguince o torcedura
accidento_brazo-4,a1106e-Luxación
accidento_brazo-5,a1106e-Fractura
accidento_brazo-6,a1106e-Herida
accidento_brazo-7,a1106e-Laceración
accidento_brazo-8,a1106e-Lesión de nervios
accidento_brazo-9,a1106e-Amputación
accidento_brazo-10,a1106e-Aplastamiento
accidento_brazo-11,a1106e-Quemadura de primer grado
accidento_brazo-12,a1106e-Quemadura de segundo grado
accidento_brazo-13,a1106e-Quemadura de tercer grado
accidento_brazo-14,a1106e-Heridas múltiples
accidento_brazo-15,a1106e-Daño-afectación de órganos
accidento_brazo-16,a1106e-Otras/no especificadas
accidento_brazo-17,a1106e-Ninguna otra lesión
accidento_brazo-99,a1106e-NS/NR
accidento_cara-1,a1106a-Contusión
accidento_cara-2,a1106a-Moretón
accidento_cara-3,a1106a-Esguince o torcedura
accidento_cara-4,a1106a-Luxación
accidento_cara-5,a1106a-Fractura
accidento_cara-6,a1106a-Herida
accidento_cara-7,a1106a-Laceración
accidento_cara-8,a1106a-Lesión de nervios
accidento_cara-9,a1106a-Amputación
accidento_cara-10,a1106a-Aplastamiento
accidento_cara-11,a1106a-Quemadura de primer grado
accidento_cara-12,a1106a-Quemadura de segundo grado
accidento_cara-13,a1106a-Quemadura de tercer grado
accidento_cara-14,a1106a-Heridas múltiples
accidento_cara-15,a1106a-Daño-afectación de órganos
accidento_cara-16,a1106a-Otras/no especificadas
accidento_cara-17,a1106a-Ninguna otra lesión
accidento_cara-99,a1106a-NS/NR
accidento_columna-1,a1106d-Contusión
accidento_columna-2,a1106d-Moretón
accidento_columna-3,a1106d-Esguince o torcedura
accidento_columna-4,a1106d-Luxación
accidento_columna-5,a1106d-Fractura
accidento_columna-6,a1106d-Herida
accidento_columna-7,a1106d-Laceración
accidento_columna-8,a1106d-Lesión de nervios
accidento_columna-9,a1106d-Amputación
