var-posibles_valores,var_alias-posibles_valores_alias
entidad-01 AGUASCALIENTES,entidad-1
entidad-02 BAJA CALIFORNIA,entidad-2
entidad-03 BAJA CALIFORNIA SUR,entidad-3
entidad-04 CAMPECHE,entidad-4
entidad-05 COAHUILA DE ZARAGOZA,entidad-5
entidad-06 COLIMA,entidad-6
entidad-07 CHIAPAS,entidad-7
entidad-08 CHIHUAHUA,entidad-8
entidad-09 CIUDAD DE MÉXICO,entidad-9
entidad-10 DURANGO,entidad-10
entidad-11 GUANAJUATO,entidad-11
entidad-12 GUERRERO,entidad-12
entidad-13 HIDALGO,entidad-13
entidad-14 JALISCO,entidad-14
entidad-15 MÉXICO,entidad-15
entidad-16 MICHOACÁN DE OCAMPO,entidad-16
entidad-17 MORELOS,entidad-17
entidad-18 NAYARIT,entidad-18
entidad-19 NUEVO LEÓN,entidad-19
entidad-20 OAXACA,entidad-20
entidad-21 PUEBLA,entidad-21
entidad-22 QUERÉTARO,entidad-22
entidad-23 QUINTANA ROO,entidad-23
entidad-24 SAN LUIS POTOSÍ,entidad-24
entidad-25 SINALOA,entidad-25
entidad-26 SONORA,entidad-26
entidad-27 TABASCO,entidad-27
entidad-28 TAMAULIPAS,entidad-28
entidad-29 TLAXCALA,entidad-29
entidad-30 VERACRUZ DE IGNACIO DE LA LLAVE,entidad-30
entidad-31 YUCATÁN,entidad-31
entidad-32 ZACATECAS,entidad-32
region-Pacifico_Norte,region-1
region-Frontera,region-2
region-Pacifico_Centro,region-3
region-Centro_Norte,region-4
region-Centro,region-5
region-Cd México,region-6
region-EdoMéxico,region-7
region-Pácifico_Sur,region-8
region-Península,region-9
region_s-Pacifico_Norte,region_s-1
region_s-Frontera,region_s-2
region_s-Pacifico_Centro,region_s-3
region_s-Centro_Norte,region_s-4
region_s-Centro,region_s-5
region_s-Cd México,region_s-6
region_s-EdoMéxico,region_s-7
region_s-Pácifico_Sur,region_s-8
region_s-Península,region_s-9
material_techo_hogar-Material de desecho,h0101-1
material_techo_hogar-Lámina de cartón,h0101-2
material_techo_hogar-Lámina metálica,h0101-3
material_techo_hogar-Lámina de asbesto,h0101-4
material_techo_hogar-Palma o paja,h0101-5
material_techo_hogar-Madera o tejamanil,h0101-6
material_techo_hogar-Terrado con vigueria,h0101-7
material_techo_hogar-Teja,h0101-8
material_techo_hogar-Losa de concreto o viguetas con bovedilla,h0101-9
materia_paredes_hogar-Material de desecho,h0102-1
materia_paredes_hogar-Lámina de cartón,h0102-2
materia_paredes_hogar-Lámina de asbesto o metálica,h0102-3
"materia_paredes_hogar-Carrizo, bambú o palma",h0102-4
"materia_paredes_hogar-Embarro, bajareque o paja",h0102-5
materia_paredes_hogar-Madera,h0102-6
materia_paredes_hogar-Adobe,h0102-7
"materia_paredes_hogar-Tabique, ladrillo,block, piedra, cantera, cemento o concreto",h0102-8
material_piso_hogar-Tierra,h0103-1
material_piso_hogar-Cemento o firme,h0103-2
"material_piso_hogar-Madera, mosaico u otro recubrimiento",h0103-3
hogar_tiene_cocina-Sí,h0106-1
hogar_tiene_cocina-No,h0106-2
lugar_cocinar_alimentos-en un pasillo o corredor?,h0107-1
lugar_cocinar_alimentos-en un tejabán o techito?,h0107-2
lugar_cocinar_alimentos-al aire libre?,h0107-3
lugar_cocinar_alimentos-¿No cocinan en esta vivienda?,h0107-4
duermen_donde_cocinan-Sí,h0108-1
duermen_donde_cocinan-No,h0108-2
combustible_cocinar-leña?,h0109-1
combustible_cocinar-carbón?,h0109-2
combustible_cocinar-gas de cilindro o estacionario?,h0109-3
combustible_cocinar-gas natural o de tubería?,h0109-4
combustible_cocinar-electricidad?,h0109-5
combustible_cocinar-¿Otro combustible?,h0109-6
combustible_cocinar-¿No cocinan?,h0109-7
estufa_cocinar-Estufa o parrilla de gas,h0110-1
estufa_cocinar-Estufa o parrilla eléctrica,h0110-2
estufa_cocinar-Fuego abierto u horno sin chimenea ni campana,h0110-3
estufa_cocinar-Fuego abierto u horno con chimenea o campana,h0110-4
estufa_cocinar-Horno cerrado con chimenea,h0110-5
estufa_cocinar-Otro,h0110-6
luz_electrica_vivienda-Sí,h0111-1
luz_electrica_vivienda-No,h0111-2
agua_entubada_vivienda-dentro de la vivienda?,h0112-1
agua_entubada_vivienda-solo en el terreno?,h0112-2
agua_entubada_vivienda-no tiene agua entubada?,h0112-3
origen_agua_entubada-del servicio público de agua?,h0113-1
origen_agua_entubada-de un pozo?,h0113-2
origen_agua_entubada-de una pipa?,h0113-3
origen_agua_entubada-de otra vivienda?,h0113-4
origen_agua_entubada-de otro lugar?,h0113-5
otro_origen_agua-la sacan o acarrean de un pozo?,h0114-1
otro_origen_agua-la acarrean de una toma o llave comunitaria?,h0114-2
otro_origen_agua-la traen de otra vivienda?,h0114-3
otro_origen_agua-la trae una pipa?,h0114-4
"otro_origen_agua-la acarrean de un río, arroyo o lago?",h0114-5
otro_origen_agua-la captan de la lluvia?,h0114-6
jabon_lavado_manos-Sí,h0115-1
jabon_lavado_manos-No,h0115-2
jabon_lavado_manos-NS/NR,h0115-8
"muestra_jabon-Sí, mostrado",h0116-1
"muestra_jabon-No, mostrado",h0116-2
tipo_jabon_1-Jabón en pastilla,h0117a-1
tipo_jabon_1-Detergente (en polvo / liquido / en pasta),h0117a-2
tipo_jabon_1-Jabón liquido,h0117a-3
"tipo_jabon_1-Ceniza, barro o arena",h0117a-4
tipo_jabon_2-Jabón en pastilla,h0117b-1
tipo_jabon_2-Detergente (en polvo / liquido / en pasta),h0117b-2
tipo_jabon_2-Jabón liquido,h0117b-3
"tipo_jabon_2-Ceniza, barro o arena",h0117b-4
tipo_jabon_3-Jabón en pastilla,h0117c-1
tipo_jabon_3-Detergente (en polvo / liquido / en pasta),h0117c-2
tipo_jabon_3-Jabón liquido,h0117c-3
"tipo_jabon_3-Ceniza, barro o arena",h0117c-4
vivienda_tiene_drenaje-la red pública?,h0118-1
vivienda_tiene_drenaje-una fosa séptica o tanque séptico (biodigestor)?,h0118-2
vivienda_tiene_drenaje-una tubería que va a dar a una barranca o grieta?,h0118-3
"vivienda_tiene_drenaje-una tubería que va a dar a un río, lago o mar?",h0118-4
vivienda_tiene_drenaje-¿No tiene drenaje?,h0118-5
servicio_sanitario-tiene descarga directa de agua?,h0119-1
servicio_sanitario-le echan agua con cubeta?,h0119-2
servicio_sanitario-no se le puede echar agua?,h0119-3
servicio_sanitario-no tiene servicio sanitario?,h0119-4
servicio_sanitario_compartido-Sí,h0120-1
servicio_sanitario_compartido-No,h0120-2
recogida_basura_vivienda-la recoge un camión o un carrito de basura?,h0121-1
recogida_basura_vivienda-la tiran en el basurero público?,h0121-2
recogida_basura_vivienda-la tiran en un contenedor o depósito?,h0121-3
recogida_basura_vivienda-la queman?,h0121-4
