subcategoria,var,var_alias,description,visibility,var_type,is_category,values,campo_unificado,class
SOCIO-ECONÓMICOS. LOCALIZACIÓN,folio_i,folio_i,Folio,visible,abierta,FALSE,"{'is_category': 'false', 'min': 0, 'max': 0}",folio_i,FALSE
SOCIO-ECONÓMICOS. LOCALIZACIÓN,entidad,entidad,Entidad,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': '01 AGUASCALIENTES', '2': '02 BAJA CALIFORNIA', '3': '03 BAJA CALIFORNIA SUR', '4': '04 CAMPECHE', '5': '05 COAHUILA DE ZARAGOZA', '6': '06 COLIMA', '7': '07 CHIAPAS', '8': '08 CHIHUAHUA', '9': '09 CIUDAD DE MÉXICO', '10': '10 DURANGO', '11': '11 GUANAJUATO', '12': '12 GUERRERO', '13': '13 HIDALGO', '14': '14 JALISCO', '15': '15 MÉXICO', '16': '16 MICHOACÁN DE OCAMPO', '17': '17 MORELOS', '18': '18 NAYARIT', '19': '19 NUEVO LEÓN', '20': '20 OAXACA', '21': '21 PUEBLA', '22': '22 QUERÉTARO', '23': '23 QUINTANA ROO', '24': '24 SAN LUIS POTOSÍ', '25': '25 SINALOA', '26': '26 SONORA', '27': '27 TABASCO', '28': '28 TAMAULIPAS', '29': '29 TLAXCALA', '30': '30 VERACRUZ DE IGNACIO DE LA LLAVE', '31': '31 YUCATÁN', '32': '32 ZACATECAS'}}",entidad,FALSE
SOCIO-ECONÓMICOS. LOCALIZACIÓN,region,region,Region o zona de trabajo,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Pacifico_Norte', '2': 'Frontera', '3': 'Pacifico_Centro', '4': 'Centro_Norte', '5': 'Centro', '6': 'Cd México', '7': 'EdoMéxico', '8': 'Pácifico_Sur', '9': 'Península'}}",region,FALSE
SOCIO-ECONÓMICOS. LOCALIZACIÓN,region_s,region_s,Region de Selección,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Pacifico_Norte', '2': 'Frontera', '3': 'Pacifico_Centro', '4': 'Centro_Norte', '5': 'Centro', '6': 'Cd México', '7': 'EdoMéxico', '8': 'Pácifico_Sur', '9': 'Península'}}",region_s,FALSE
SOCIO-ECONÓMICOS. LOCALIZACIÓN,municipio,municipio,Municipio,visible,abierta,FALSE,"{'is_category': 'false', 'min': 0, 'max': 0}",municipio,FALSE
SOCIO-ECONÓMICOS. LOCALIZACIÓN,vivienda,vivienda,Vivienda,visible,abierta,FALSE,"{'is_category': 'false', 'min': 0, 'max': 0}",vivienda,FALSE
SOCIO-ECONÓMICOS. LOCALIZACIÓN,upm,upm,Unidad primaria de muestreo,visible,abierta,FALSE,"{'is_category': 'false', 'min': 0, 'max': 0}",upm,FALSE
SOCIO-ECONÓMICOS. CARACTERÍSTCAS DE LA VIVIENDA,material_techo_hogar,h0101,¿De qué material es la mayor parte del techo de esta vivienda?,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Material de desecho', '2': 'Lámina de cartón', '3': 'Lámina metálica', '4': 'Lámina de asbesto', '5': 'Palma o paja', '6': 'Madera o tejamanil', '7': 'Terrado con vigueria', '8': 'Teja', '9': 'Losa de concreto o viguetas con bovedilla'}}",material_techo_hogar,FALSE
SOCIO-ECONÓMICOS. CARACTERÍSTCAS DE LA VIVIENDA,materia_paredes_hogar,h0102,¿De qué material es la mayor parte de las paredes o muros de esta vivienda?,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Material de desecho', '2': 'Lámina de cartón', '3': 'Lámina de asbesto o metálica', '4': 'Carrizo, bambú o palma', '5': 'Embarro, bajareque o paja', '6': 'Madera', '7': 'Adobe', '8': 'Tabique, ladrillo,block, piedra, cantera, cemento o concreto'}}",materia_paredes_hogar,FALSE
SOCIO-ECONÓMICOS. CARACTERÍSTCAS DE LA VIVIENDA,material_piso_hogar,h0103,¿De qué material es la mayor parte del piso de esta vivienda?,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Tierra', '2': 'Cemento o firme', '3': 'Madera, mosaico u otro recubrimiento'}}",material_piso_hogar,FALSE
SOCIO-ECONÓMICOS. CARACTERÍSTCAS DE LA VIVIENDA,cuartos_para_dormir,h0104,¿Cuántos cuartos se usan para dormir sin contar pasillos?,visible,abierta,FALSE,"{'is_category': 'false', 'options': {}}",cuartos_para_dormir,FALSE
SOCIO-ECONÓMICOS. CARACTERÍSTCAS DE LA VIVIENDA,total_cuartos_vivienda,h0105,"En total, ¿cuántos cuartos tiene esta vivienda (no cuente pasillos ni baños)?",visible,abierta,FALSE,"{'is_category': 'false', 'options': {}}",total_cuartos_vivienda,FALSE
SOCIO-ECONÓMICOS. CARACTERÍSTCAS DE LA VIVIENDA,hogar_tiene_cocina,h0106,¿Esta vivienda tiene un cuarto(espacio) para cocinar?,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No'}}",hogar_tiene_cocina,FALSE
SOCIO-ECONÓMICOS. CARACTERÍSTCAS DE LA VIVIENDA,lugar_cocinar_alimentos,h0107,"Entonces, ¿cocinan los alimentos...",visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'en un pasillo o corredor?', '2': 'en un tejabán o techito?', '3': 'al aire libre?', '4': '¿No cocinan en esta vivienda?'}}",lugar_cocinar_alimentos,FALSE
SOCIO-ECONÓMICOS. CARACTERÍSTCAS DE LA VIVIENDA,duermen_donde_cocinan,h0108,"¿En el cuarto (espacio) donde cocinan, también duermen?",visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No'}}",duermen_donde_cocinan,FALSE
SOCIO-ECONÓMICOS. CARACTERÍSTCAS DE LA VIVIENDA,combustible_cocinar,h0109,¿El combustible que más usan para cocinar es...,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'leña?', '2': 'carbón?', '3': 'gas de cilindro o estacionario?', '4': 'gas natural o de tubería?', '5': 'electricidad?', '6': '¿Otro combustible?', '7': '¿No cocinan?'}}",combustible_cocinar,FALSE
SOCIO-ECONÓMICOS. CARACTERÍSTCAS DE LA VIVIENDA,estufa_cocinar,h0110,¿Qué tipo de estufa utilizan para cocinar o calentar alimentos?,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Estufa o parrilla de gas', '2': 'Estufa o parrilla eléctrica', '3': 'Fuego abierto u horno sin chimenea ni campana', '4': 'Fuego abierto u horno con chimenea o campana', '5': 'Horno cerrado con chimenea', '6': 'Otro'}}",estufa_cocinar,FALSE
