Nº,NOMBRE DE VARIABLE,DESCRIPCIÓN DE VARIABLE,FORMATO O FUENTE,OBSERVACIÓN,CATALOGOS
1,FECHA_ACTUALIZACION,"La base de datos se alimenta diariamente, esta variable permite identificar la fecha de la ultima actualizacion.",AAAA-MM-DD,-,{}
2,ID_REGISTRO,Número identificador del caso,TEXTO,-,{}
3,ORIGEN,"La vigilancia centinela se realiza a través del sistema de unidades de salud monitoras de enfermedades respiratorias (USMER). Las USMER incluyen unidades médicas del primer, segundo o tercer nivel de atención y también participan como USMER las unidades de tercer nivel que por sus características contribuyen a ampliar el panorama de información epidemiológica, entre ellas las que cuenten con especialidad de neumología, infectología o pediatría. ",CATALOGO ORIGEN,-,"{""1"": ""USMER"", ""2"": ""FUERA DE USMER"", ""99"": ""NO ESPECIFICADO""}"
4,SECTOR,Identifica el tipo de institución del Sistema Nacional de Salud que brindó la atención.,CATALOGO SECTOR,-,"{""1"": ""CRUZ ROJA"", ""2"": ""DIF"", ""3"": ""ESTATAL"", ""4"": ""IMSS"", ""5"": ""IMSS-BIENESTAR"", ""6"": ""ISSSTE"", ""7"": ""MUNICIPAL"", ""8"": ""PEMEX"", ""9"": ""PRIVADA"", ""10"": ""SEDENA"", ""11"": ""SEMAR"", ""12"": ""SSA"", ""13"": ""UNIVERSITARIO"", ""14"": ""CIJ"", ""15"": ""IMSS Bienestar OPD"", ""99"": ""NO ESPECIFICADO""}"
5,ENTIDAD_UM,Identifica la entidad donde se ubica la unidad medica que brindó la atención.,CATALOGO ENTIDADES,-,{}
6,SEXO,Identifica al sexo del paciente.,CATALOGO SEXO,-,"{""1"": ""MUJER"", ""2"": ""HOMBRE"", ""99"": ""NO ESPECIFICADO""}"
7,ENTIDAD_NAC,Identifica la entidad de nacimiento del paciente.,CATALOGO ENTIDADES,-,{}
8,ENTIDAD_RES,Identifica la entidad de residencia del paciente.,CATALOGO ENTIDADES,-,{}
9,MUNICIPIO_RES,Identifica el municipio de residencia del paciente.,CATALOGO MUNICIPIOS,-,{}
10,TIPO_PACIENTE,Identifica el tipo de atención que recibió el paciente en la unidad. Se denomina como ambulatorio si regresó a su casa o se denomina como hospitalizado si fue ingresado a hospitalización.,CATALOGO TIPO_PACIENTE,-,"{""1"": ""AMBULATORIO"", ""2"": ""HOSPITALIZADO"", ""99"": ""NO ESPECIFICADO""}"
11,FECHA_INGRESO,Identifica la fecha de ingreso del paciente a la unidad de atención.,AAAA-MM-DD,-,{}
12,FECHA_SINTOMAS,Idenitifica la fecha en que inició la sintomatología del paciente.,AAAA-MM-DD,-,{}
13,FECHA_DEF,Identifica la fecha en que el paciente falleció.,AAAA-MM-DD,-,{}
